names,question,response
pet,"[now-company_pet] Who is with you at this moment {A pet (dog, cat…)}","1 = yes, 0 = no "
withothr,[now-company_other] Who is with you at this moment {Other},"1 = yes, 0 = no "
nothing,[now-activity_nothing] What are you doing at this moment? {Nothing or waiting},"1 = yes, 0 = no "
napping,[now-activity_resting] What are you doing at this moment? {Napping/Resting},"1 = yes, 0 = no "
eating,[now-activity_eating] What are you doing at this moment? {Eating},"1 = yes, 0 = no "
chores,[now-activity_household] What are you doing at this moment? {Household chores},"1 = yes, 0 = no "
working,[now-activity_working] What are you doing at this moment? {Working (paid or volunteer)},"1 = yes, 0 = no "
shopping,[now-activity_shopping] What are you doing at this moment? {Shopping},"1 = yes, 0 = no "
hygiene,[now-activity_hygiene] What are you doing at this moment? {Personal hygiene care},"1 = yes, 0 = no "
sports,[now-activity_sports] What are you doing at this moment? {Physical leisure or sports},"1 = yes, 0 = no "
physleis,[now-activity_exercise] What are you doing at this moment? {Personal exercise},"1 = yes, 0 = no "
now.activity_walking.dog,What are you doing at this moment? {Walking the dog},"1 = yes, 0 = no "
travel,[now-activity_traveling] What are you doing at this moment? {Traveling or commuting},"1 = yes, 0 = no "
tv,[now-activity_tv] What are you doing at this moment? {Watching TV},"1 = yes, 0 = no "
music,[now-activity_music] What are you doing at this moment? {Listening to music},"1 = yes, 0 = no "
computer,[now-activity_computer] What are you doing at this moment? {Using a computer/electronic device},"1 = yes, 0 = no "
talkphon,[now-activity_talking-phone] What are you doing at this moment? {Talking on the phone},"1 = yes, 0 = no "
talkpers,[now-activity_talking-real] What are you doing at this moment? {Talking in-person},"1 = yes, 0 = no "
nonphysl,[now-activity_other-nonphysical] What are you doing at this moment? {Other nonphysical leisure},"1 = yes, 0 = no "
othract,[now-activity_other] What are you doing at this moment? {Other activity},"1 = yes, 0 = no "
sad,[now-sadness] How happy versus sad do you feel right now?,"Likert Scale 1-7, 1=Very cheerful/happy, 7=Very sad/depressed/unhappy"
anxious,[now-anxiousness] How relaxed vs. anxious do you feel right now?,"Likert Scale 1-7, 1=Very Relaxed/Calm, 7=Very Anxious/Nervous"
active,[now-active] How inactive vs active do you feel right now?,"Likert Scale 1-7, 1=Very Inactive/Quiet, 7=Very Active/Aroused"
Energy,[now-excited] How tired vs enegetic do you feel right now?,"Likert Scale 1-7, 1=Very Tired/Sluggish, 7=Very Lively/Excited"
distract,[now-distracted] How well can you concentrate or focus right now?,"Likert Scale 1-7, 1=Very focused/attentive, 7=Very unfocused/distracted"
irrit,[now-irritable] How irritable or easily angered do you feel right now?,"Likert Scale 1-7, 1=Not at all Irritable/Angry, 7=Very Irritable/Angry"
racing,[now-slow-thinking] How quick is your thinking?,"Likert Scale 1-7, 1=Very quick, lots of ideas, 7=Slow, cannot think of things"
now.enjoyment,How much are you able to enjoy and feel pleasure in things?,"Likert Scale 1-7, 1=Really enjoying things, 7=No pleasure or enjoyment"
agitat,[now-restless] How fidgety or restless do you feel right now compared to your usual self?,"Likert Scale 1-7, 1=Not at all restless, 7=Very restless, fidgety, cannot sit still"
hungry,[now-hungry] How hungry do you feel right now?,"Likert Scale 1-7, 1=Not at all hungry, 7=Extremely hungry"
since.instructions,NA,NA
since.rest,"Since the last assesment, did you have a nap or rest?","1 = yes, 0 = no "
since.rest.duration,How long was your nap or rest?,"15=""Less than 30 min"", 45=""30-60 min"", 90=""60-120 min"", 120=""Longer than 120 min"""
since.rest.fell.asleep,Did you actually fall asleep during the nap rest? ,"1 = yes, 0 = no "
since.physical.activity_vigorous,"Please select the intensity level of activites you did since the last questionnaire. {Vigorous activites (e.g. running, fast cycling, heavy lifting or digging)} ","1 = yes, 0 = no "
since.physical.activity_moderate,"Please select the intensity level of activites you did since the last questionnaire. {Moderate activites (e.g. tennis, bicycling, carrying light loads)} ","1 = yes, 0 = no "
since.physical.activity_light,"Please select the intensity level of activites you did since the last questionnaire. {Light activites (e.g. walking, climbing stairs, routine household chores)} ","1 = yes, 0 = no "
since.vigorous.activity,"Since the last questionnaire, how many minutes did you do vigorous activities including intensive sports or exercise (such as running or fast cycling) or intensive physical work (such as heavy lifting or digging)?","Number of minutes from 5-60, with 5=""About minutes or less"" and 60=""More than 1 hour"""
since.vigorous.activity.planned,Was this vigorous activity (or acitivities) part of a planned workout or exercise routine?,"1 = yes, 0 = no "
since.moderate.activity,"Since the last questionnaire, how many minutes did you do moderate acitives (activities that make you breathe somewhat harder than usual such as playing tennis, bicycling, carrying light loads)?","Number of minutes from 5-60, with 5=""About minutes or less"" and 60=""More than 1 hour"""
since.moderate.activity.planned,Was this moderate activity (or acitivities) part of a planned workout or exercise routine?,"1 = yes, 0 = no "
since.light.activity,"Since the last questionnaire, how many minutes did you do light activities (activities that may not make you breathe somewhat harder than usual such as walking, climbing stairs, routine household chores, etc.)?","Number of minutes from 5-60, with 5=""About minutes or less"" and 60=""More than 1 hour"""
since.light.activity.planned,Was this light activity (or acitivities) part of a planned workout or exercise routine?,"1 = yes, 0 = no "
since.had.drink_water,"Since the last questionnaire, did you drink: {Water}","1 = yes, 0 = no "
since.had.drink_milk,"Since the last questionnaire, did you drink: {Milk}","1 = yes, 0 = no "
caffeine,"[since-had-drink_caffeinated] Since the last questionnaire, did you drink: {A caffeinated beverage (like coffee, tea, soda)}","1 = yes, 0 = no "
Alcohol,"[since-had-drink_alcohol] Since the last questionnaire, did you drink: {An alcoholic beverage (wine, beer, liquor)}","1 = yes, 0 = no "
since.had.drink_sugar,"Since the last questionnaire, did you drink: {A beverage containing sugar like juice or caffeine-free soda}","1 = yes, 0 = no "
since.had.drink_other,"Since the last questionnaire, did you drink: {Another type of drink}","1 = yes, 0 = no "
since.had.drink.water.quantity,How many glasses or cups of water did you consume?,"Number of glasses, 1-5, 5=""5 glasses or more"""
since.had.drink.milk.quantity,How many glasses or cups of milk did you consume?,"Number of glasses, 1-5, 5=""5 glasses or more"""
cafsoda,"[since-had-drink-caffeinated-type_soda] What type of caffeinated beverage did you consume? {Soda (Coke, Pepsi, other caffeinated soda)}","1 = yes, 0 = no "
since.had.drink.caffeinated.type_energy,What type of caffeinated beverage did you consume? {Energy drink},"1 = yes, 0 = no "
coffee,[since-had-drink-caffeinated-type_coffee] What type of caffeinated beverage did you consume? {Coffee},"1 = yes, 0 = no "
tea,[since-had-drink-caffeinated-type_tea] What type of caffeinated beverage did you consume? {Tea},"1 = yes, 0 = no "
othercaf,[since-had-drink-caffeinated-type_other] What type of caffeinated beverage did you consume? {Other},"1 = yes, 0 = no "
cafquan,[since-had-drink-caffeinated-quantity] How many glasses or cups of caffeinated drinks did you consume?,"Number of glasses, 1-5, 5=""5 glasses or more"""
Rwine,[since-had-drink-alcohol-type_red] What type of alcoholic beverage did you consume? {Red wine},"1 = yes, 0 = no "
Wwine,[since-had-drink-alcohol-type_white] What type of alcoholic beverage did you consume? {White wine},"1 = yes, 0 = no "
Champ,[since-had-drink-alcohol-type_champagne] What type of alcoholic beverage did you consume? {Champagne/Sparkling wine},"1 = yes, 0 = no "
Beer,[since-had-drink-alcohol-type_beer] What type of alcoholic beverage did you consume? {Beer},"1 = yes, 0 = no "
cocktail,[since-had-drink-alcohol-type_cocktail] What type of alcoholic beverage did you consume? {Cocktail},"1 = yes, 0 = no "
Whiskey,[since-had-drink-alcohol-type_whisky] What type of alcoholic beverage did you consume? {Whisky},"1 = yes, 0 = no "
otheralc,[since-had-drink-alcohol-type_other] What type of alcoholic beverage did you consume? {Other},"1 = yes, 0 = no "
alcquan,[since-had-drink-alcohol-quantity] How many glasses or cups of alcoholic drinks did you consume?,"Number of glasses, 1-5, 5=""5 glasses or more"""
since.had.drink.sugar.quantity,[since-had-drink-sugar-quantity] How many glasses or cups of drinks containing sugar did you consume?,"Number of glasses, 1-5, 5=""5 glasses or more"""
meal,[since-eaten] How many times have you eaten since the last questionnaire?,"Number of times,  0-5, 5=""5 times or more"""
since.eaten.several.times.instructions,NA,NA
mealsz,"[since-eaten_quantity] For these different times when you ate, think about when you ate the most when answering the following questions: How much did you eat?","Number from 1-4, 1=""Just a snack"", 2=""A small meal"", 3=""A regular, full meal"", 4=""A large meal"""
since.eaten.when,About what time did you eat? ,"Time in 30 min interval, represented as a number 0 (12:00am-12:30am) to 23.5 (11:30pm-12:00am) "
since.eaten.type_meat,"Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Beef, pork, or lamb}","1 = yes, 0 = no "
since.eaten.type_poultry,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Chicken or other poultry},"1 = yes, 0 = no "
since.eaten.type_eggs,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Eggs},"1 = yes, 0 = no "
since.eaten.type_fish,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Fish},"1 = yes, 0 = no "
since.eaten.type_dairy,"Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Dairy (yogurt, milk, cheese)}","1 = yes, 0 = no "
Foodbrd,"[since-eaten-type_starchy] Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Bread, pasta, cereal, or other starchy food}","1 = yes, 0 = no "
since.eaten.type_fruits,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Fruits},"1 = yes, 0 = no "
since.eaten.type_vegetables,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Vegetables},"1 = yes, 0 = no "
since.eaten.type_sweet,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Sweet foods or candy},"1 = yes, 0 = no "
since.eaten.type_ebars,Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {Energy bars},"1 = yes, 0 = no "
Foodsalt,[since-eaten-type_chips] Please think about all the foods you had to eat since the last questionnaire. Please select all types of food you ate: {chips},"1 = yes, 0 = no "
Foodchoc,[since-eaten-chocolate] Did you eat chocolate? ,"1 = yes, 0 = no "
cigaret,"[since-substances_cigaret] Since the last questionnaire, have you used any of these substances? {Cigarettes}","1 = yes, 0 = no "
cannabis,"[since-substances_cannabis] Since the last questionnaire, have you used any of these substances? {Cannabis, pot}","1 = yes, 0 = no "
othdrug,"[since-substances_other] Since the last questionnaire, have you used any of these substances? {Other drug}","1 = yes, 0 = no "
since.substances.cigarettes,How many cigarettes did you have?,"1-5, 8=""6-10"", 15=""10-20"", 20=""Over 20"""
since.substances.cannabis,How many joints did you have?,"1-4, 5=""Over 5"""
since.substances.other_cocaine,Which drug did you use? {Cocaine},"1 = yes, 0 = no "
since.substances.other_tranquilizers,Which drug did you use? {Tranquilizers},"1 = yes, 0 = no "
since.substances.other_stimulants,Which drug did you use? {Stimulants},"1 = yes, 0 = no "
since.substances.other_painkillers,Which drug did you use? {Painkillers},"1 = yes, 0 = no "
since.substances.other_heroin,Which drug did you use? {Heroin},"1 = yes, 0 = no "
since.substances.other_other,Which drug did you use? {Other drug},"1 = yes, 0 = no "
event.instructions,NA,NA
event.category,"The following questions concern the ONE event or experience, good or bad, that has affected you the most since the last questionnaire. Which of the following categories best describes the area of your life in which the event occurred?",Character string responses for each category
ngevent,[event-negative-impact] To what degree did this event have a postive or negtive impact on you?,"Likert Scale 1-7, 1=Extremely positive, 7=Extremely negative"
day.instructions,NA,NA
day.physical.health,How was your physical health today?,"Likert Scale 1-7, 1=Very poor, 7=Very good, excellent"
day.problems.categories_allergies,Did you have any of the following problems today? {Allergies},"1 = yes, 0 = no "
day.problems.categories_breath,Did you have any of the following problems today? {Asthma or breathing difficulties},"1 = yes, 0 = no "
day.problems.categories_belly,"Did you have any of the following problems today? {Gastro-intestinal, bowel or stomach problems}","1 = yes, 0 = no "
physympMuscleorjointpain,[day-problems-categories_muscle] Did you have any of the following problems today? {Muscle/joint pain},"1 = yes, 0 = no "
heartrac,[day-problems-categories_heart] Did you have any of the following problems today? {Heart racing or pounding},"1 = yes, 0 = no "
day.problems.categories_headache,Did you have any of the following problems today? {Headache pain or migraine},"1 = yes, 0 = no "
Dizzy,"Did you have any of the following problems today? {Dizziness, feeling light-headed or faint}","1 = yes, 0 = no "
hurthead,Did you have any of the following problems today? {Hit or hurt your head},"1 = yes, 0 = no "
day.problems.allergies,How much did your allergies bother you today?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
day.problems.breath,How much did your asthma or breathing difficulties bother you today?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
day.problems.belly.symptoms_abdomen,Which (if any) of the following gastro-intestinal/stomach symptoms did you have today? {Pain in your abdomen},"1 = yes, 0 = no "
diarrhea,[day-problems-belly-symptoms_diarrhea] Which (if any) of the following gastro-intestinal/stomach symptoms did you have today? {Diarrhea},"1 = yes, 0 = no "
nausea,[day-problems-belly-symptoms_nausea] Which (if any) of the following gastro-intestinal/stomach symptoms did you have today? {Nausea},"1 = yes, 0 = no "
vomiting,[day-problems-belly-symptoms_vomiting] Which (if any) of the following gastro-intestinal/stomach symptoms did you have today? {Vomiting},"1 = yes, 0 = no "
day.problems.belly,How much did this (or these) gastro-intestinal/stomach symptoms(s) bother you today?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
day.problems.muscle,How much did your muscle/joint pain bother you today?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
day.problems.heart,How much did your heart racing or pounding bother you today?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
diziness.instructions,NA,NA
wheredz,"[dizziness-situation] Please tell us more about feeling dizzy or light headed. Did these feelings occur in a particular situation (in a bus, in hot weather, or other condition)?","1 = yes, 0 = no "
dizziness.faint,Did you actually faint today?,"1 = yes, 0 = no "
day.over.medication,Did you take any over the counter medications today?,"1 = yes, 0 = no "
day.over.medication.why_pain,"Did you take them for? {Pain (headache, muscle or join pain, etc)}","1 = yes, 0 = no "
day.over.medication.why_allergies,Did you take them for? {Allergies/cold},"1 = yes, 0 = no "
day.over.medication.why_fever,"Did you take them for? {Fever, acute illness}","1 = yes, 0 = no "
day.over.medication.why_other,Did you take them for? {Other},"1 = yes, 0 = no "
day.prescribed.medication,Did you take prescribed medications today?,"1 = yes, 0 = no "
birthcl,[day-prescribed-medication-conditions_birth] Which of the following conditions? {Birth control},"1 = yes, 0 = no "
day.prescribed.medication.conditions_heart,[day-prescribed-medication-conditions_birth] Which of the following conditions? {Heart/blood pressure/cholesterol},"1 = yes, 0 = no "
day.prescribed.medication.conditions_meta,"[day-prescribed-medication-conditions_birth] Which of the following conditions? {Thyroid, metabolic}","1 = yes, 0 = no "
day.prescribed.medication.conditions_sleep,[day-prescribed-medication-conditions_birth] Which of the following conditions? {Sleep},"1 = yes, 0 = no "
day.prescribed.medication.conditions_anx.dep,[day-prescribed-medication-conditions_birth] Which of the following conditions? {Anxiety or depression},"1 = yes, 0 = no "
day.prescribed.medication.conditions_attention,[day-prescribed-medication-conditions_birth] Which of the following conditions? {Attention/hyperactivity},"1 = yes, 0 = no "
day.prescribed.medication.conditions_allergies,"[day-prescribed-medication-conditions_birth] Which of the following conditions? {Asthma, allergies, breathing problems}","1 = yes, 0 = no "
day.prescribed.medication.conditions_joint,"[day-prescribed-medication-conditions_birth] Which of the following conditions? {Arthritis, joint or back pain}","1 = yes, 0 = no "
day.prescribed.medication.conditions_other,[day-prescribed-medication-conditions_birth] Which of the following conditions? {Other},"1 = yes, 0 = no "
day.lethargic,"Did you feel like you had no physical energy, as if you were weighted down or had a heavy feeling in your arms and legs for most of the day?","1 = yes, 0 = no "
period,[day-period] Are you currently having your period?,"1 = yes, 0 = no "
now.pain,Are you in pain right now (other than headache pain)?,"Likert Scale 1-7, 1=No pain, 7=Extreme pain"
since.pain,Have you experienced any pain (other than headache pain) since the last questionnaire?,"1 = yes, 0 = no "
since.pain.level,How severe was the pain you experienced since the last questionnaire?,"Likert Scale 1-7, 1=No pain, 7=Extreme pain"
now.headache,Are you currently experiencing a headache?,"1 = yes, 0 = no "
headach,[since-headache] Have you experienced a headache since the last questionnaire?,"1 = yes, 0 = no "
prevmed,"[prevention-actions_prescribed] Since you woke up, did you do any of the following to prevent a headache? {Take prescribed medicine}","1 = yes, 0 = no "
prevcoun,"[prevention-actions_over] Since you woke up, did you do any of the following to prevent a headache? {Take over-the-counter medicine}","1 = yes, 0 = no "
prevact,"[prevention-actions_activity] Since you woke up, did you do any of the following to prevent a headache? {Reduce or change activities}","1 = yes, 0 = no "
prevrel,"[prevention-actions_relax] Since you woke up, did you do any of the following to prevent a headache? {Use relaxation, yoga, or other techniques}","1 = yes, 0 = no "
prevnap,"[prevention-actions_rest] Since you woke up, did you do any of the following to prevent a headache? {Rest or take nap}","1 = yes, 0 = no "
prevoth,"[prevention-actions_other] Since you woke up, did you do any of the following to prevent a headache? {Other prevention strategy}","1 = yes, 0 = no "
headache.instructions,NA,NA
headache.start,What time did the headache begin? ,"Time in 1 hr interval, represented as a number 0 (12:00am-12:30am) to 23 (11:00pm-12:00am) "
headache.end,What time did the headache end? ,"Time in 1 hr interval, represented as a number 0 (12:00am-12:30am) to 23 (11:00pm-12:00am) "
hdintens,How intense is (or was) your headache?,"Likert Scale 1-7, 1=Very minor, 4=Moderately intense, 7=Extreme pain"
headache.location,Where is (or was) your headache? ,Character string responses for location
hdthrob,[headache-pulsating] Is (or was) the pain throbbing or pulsating?,"1 = yes, 0 = no "
hdbend,[headache-effort] Does (or did) your headache pain increase with routine activity such as bending over or climbing stairs?,"1 = yes, 0 = no "
hdnaus,"[headache-nausea] Do (or did) you feel nauseated, vomit or have diarrhea?","1 = yes, 0 = no "
hdlight,[headache-light] How much does (or did) light bother you?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
hdnoise,"[headache-noise] How much does (or did) noise such as music, talking, TV, bother you? ","1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
hdodor,"[headache-smell] How much does (or did) certain odors such as perfume, food, smoke, bother you?","1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
hdodtrig,[headache-odor-trigger] Did a particular odor actually trigger your headache?,"1 = yes, 0 = no "
Blurred,[headache-vision-change_blur] Which (if any) of the following vision changes did you experience? {Blurred or distorted vision},"1 = yes, 0 = no "
Flashing,"[headache-vision-change_flash] Which (if any) of the following vision changes did you experience? {Flashing lights, shapes}","1 = yes, 0 = no "
Blind,[headache-vision-change_blind] Which (if any) of the following vision changes did you experience? {Blind spots or missing parts},"1 = yes, 0 = no "
headache.vision.change.time,When did those vision changes occur with respect to onset of the headache pain?,"before=""Before headache pain"", after=""After headache pain"""
hdnumb,[headache-numbing] Is (or was) your headache accompanied by any numbing or tingling in certain body areas?  ,"1 = yes, 0 = no "
headache.numbing.time,When did this difficulty occur with respect to onset of the headache pain?,"before=""Before headache pain"", after=""After headache pain"""
hdspeak,"[headache-confusing] Does (or did) the headache make it difficult to speak, think, or express yourself?","1 = yes, 0 = no "
headache.confusing.time,When did this difficulty occur with respect to onset of the headache pain?,"before=""Before headache pain"", after=""After headache pain"""
hdsudden,[headache-sudden] Did your headache come on suddenly?,"1 = yes, 0 = no "
Medsover,[headache-medication_over] Which (if any) did you take to treat your headache? {Over-the-counter medications},"1 = yes, 0 = no "
Medspres,[headache-medication_prescribed] Which (if any) did you take to treat your headache? {Prescription medications},"1 = yes, 0 = no "
hdinterf,[headache-interference] How much does (or did) the headache interfere with your activities?,"1=""Not at all"", 2=""Mild"", 3=""Moderate"", 4=""Severe"""
saliva.instructions,NA,NA
home,Where are you right now? {home=In my home},"1 = yes, 0 = no "
homerf,Where are you right now? {friend=In home of relative or friend},"1 = yes, 0 = no "
workcl,Where are you right now? {work=At work or in class},"1 = yes, 0 = no "
restbar,Where are you right now? {restaurant=In a restaurant or bar},"1 = yes, 0 = no "
storshop,Where are you right now? {shop=In a store or shop},"1 = yes, 0 = no "
hospcl,Where are you right now? {hospital=In a hospital or Dr.'s office},"1 = yes, 0 = no "
vehic,"Where are you right now? {vehicle=In a vehicle (car, bus}","1 = yes, 0 = no "
pubbldg,Where are you right now? {building=In a public building},"1 = yes, 0 = no "
gymstad,Where are you right now? {gym=In the gym or fitness center},"1 = yes, 0 = no "
othrin,Where are you right now? {inside=Other place (inside)},"1 = yes, 0 = no "
othrout,Where are you right now? {outside=Other place (outside)},"1 = yes, 0 = no "
evwork,Which of the following categories best describes the area of your life in which the event occurred? {work=Work},"1 = yes, 0 = no "
eveduc,Which of the following categories best describes the area of your life in which the event occurred? {education=Education},"1 = yes, 0 = no "
evff,Which of the following categories best describes the area of your life in which the event occurred? {family=Family or friend relationships},"1 = yes, 0 = no "
evcoll,Which of the following categories best describes the area of your life in which the event occurred? {colleagues=Interactions with colleagues},"1 = yes, 0 = no "
evstrang,Which of the following categories best describes the area of your life in which the event occurred? {strangers=Interactions with strangers},"1 = yes, 0 = no "
evhous,Which of the following categories best describes the area of your life in which the event occurred? {house=Housing or residence},"1 = yes, 0 = no "
evleisur,Which of the following categories best describes the area of your life in which the event occurred? {leisure=Leisure},"1 = yes, 0 = no "
evhealth,Which of the following categories best describes the area of your life in which the event occurred? {health=Health},"1 = yes, 0 = no "
evmoney,Which of the following categories best describes the area of your life in which the event occurred? {finances=Finances},"1 = yes, 0 = no "
evrelig,Which of the following categories best describes the area of your life in which the event occurred? {spirituality=Religion or spirituality},"1 = yes, 0 = no "
evlegal,Which of the following categories best describes the area of your life in which the event occurred? {judicial=Legal or judicial},"1 = yes, 0 = no "
evtransp,Which of the following categories best describes the area of your life in which the event occurred? {traveling=Traveing or commuting},"1 = yes, 0 = no "
evother,Which of the following categories best describes the area of your life in which the event occurred? {other=Other},"1 = yes, 0 = no "
Inbed,About what time did you go to bed last night (regardless of the time you actually fell asleep)?,"Time in 30 min interval, represented as character strings "
less5h,Dummy variable for if {morning-sleep-quanity<5},"1 = yes, 0 = no "
headon,What time did the headache begin? ,"Time in 1 hr interval, represented as character strings "
headoff,What time did the headache end? ,"Time in 1 hr interval, represented as character strings "
bothside,Where is (or was) your headache? {both=Both sides of your head},"1 = yes, 0 = no "
leftside,Where is (or was) your headache? {left=Left side only},"1 = yes, 0 = no "
rtside,Where is (or was) your headache? {right=Right side only},"1 = yes, 0 = no "
chanside,Where is (or was) your headache? {moving=Moved from one side to another},"1 = yes, 0 = no "
visbef,When did those vision changes occur with respect to onset of the headache pain? {before},"1 = yes, 0 = no "
visafter,When did those vision changes occur with respect to onset of the headache pain? {after},"1 = yes, 0 = no "
numbbef,When did this numbing or tingling occur with respect to onset of the headache pain? {before},"1 = yes, 0 = no "
numbaft,When did this numbing or tingling occur with respect to onset of the headache pain? {after},"1 = yes, 0 = no "
expbef,When did this difficulty occur with respect to onset of the headache pain? {before},"1 = yes, 0 = no "
expafter,When did this difficulty occur with respect to onset of the headache pain? {after},"1 = yes, 0 = no "
mealtme,About what time did you eat? ,"Time in 30 min interval, represented as character strings "
Morning,Dummy variable indicating morning assessment,"1 = yes, 0 = no"
Noon,Dummy variable indicating noon assessment,"1 = yes, 0 = no"
Afternoon,Dummy variable indicating afternoon assessment,"1 = yes, 0 = no"
Evening,Dummy variable indicating evening assessment,"1 = yes, 0 = no"
timeofday,time of assessment,"""Morning"", ""Noon"", ""Afternoon"", or ""Evening"""
timepoint,time of assessment numeric index,"1, 2, 3, or 4"
timeindex,numeric index of assessment over two weeks,number 1-56
